Unnamed: 0,pdf,authors,titles,number,available,filename
35,https://psb.stanford.edu/psb-online/proceedings/psb96/johnson.pdf,A. Peter Johnson and Zsolt Zsoldos,Visualisation in the SPROUT molecular design program.,35.0,True,1996\35_main_body.txt
36,https://psb.stanford.edu/psb-online/proceedings/psb96/judson.pdf,Richard Judson,Computational Evolution of a Model Polymer that Folds to a Specified Target Conformation,36.0,True,1996\36_main_body.txt
37,https://psb.stanford.edu/psb-online/proceedings/psb96/karp.pdf,Peter Karp,A Protocol for Maintaining Multidatabase Referential Integrity,37.0,True,1996\37_main_body.txt
38,https://psb.stanford.edu/psb-online/proceedings/psb96/kolinski.pdf,"Andrzej Kolinski, Jeffrey Skolnick and Adam Godzik",An algorithm for prediction of structural elements in small proteins,38.0,True,1996\38_main_body.txt
39,https://psb.stanford.edu/psb-online/proceedings/psb96/komeiji.pdf,"Y. Komeiji, H. Yokoyama, M. Uebayasi, M. Taiji, T. Fukushige, D. Sugimoto, R.Takata, A Shimizu and K. Itsukashi",A high performance system for molecular dynamics simulations of biomolecules using a special-purpose computer,39.0,True,1996\39_main_body.txt
40,https://psb.stanford.edu/psb-online/proceedings/psb96/koshi.pdf,"J. M. Koshi and R. A. Goldstein,",Correlating Mutation Matrices with Physical-Chemical Properties,40.0,True,1996\40_main_body.txt
41,https://psb.stanford.edu/psb-online/proceedings/psb96/koza.pdf,John R. Koza and David Andre,A Case Study Where Biology Inspired a Solution to a Computer Science Problem.,41.0,True,1996\41_main_body.txt
42,https://psb.stanford.edu/psb-online/proceedings/psb96/matsuda.pdf,H. Matsuda,Protein Phylogenetic Inference using Maximum Likelihood with a Genetic Algorithm,42.0,True,1996\42_main_body.txt
43,https://psb.stanford.edu/psb-online/proceedings/psb96/muller.pdf,Richard P. Muller and Arieh Warshel,Ab Initio Calculations of Free Energy Barriers for Chemical Reactions in Solution: Proton Transfer in [FHF]-,43.0,True,1996\43_main_body.txt
44,https://psb.stanford.edu/psb-online/proceedings/psb96/pan.pdf,"Jiann-Jong Pan and Jenn-Kang Hwang,",Mixed Quantum Mechanical/Molecular Mechanical Simulations of Chemical Reactions in Solution and in Enzymes by the Classical Trajectory Mapping Approach,44.0,True,1996\44_main_body.txt
45,https://psb.stanford.edu/psb-online/proceedings/psb96/pohorille.pdf,"Andrew Pohorille, Christophe Chipot, Michael H. New, and Michael A. Wilson",Molecular Modeling of Protocellular Functions,45.0,True,1996\45_main_body.txt
46,https://psb.stanford.edu/psb-online/proceedings/psb96/rufino.pdf,"Stephen D. Rufino, Luis E. Donate, Luc Canard, and Tom L. Blundell,","Analysis, clustering and prediction of the conformation of short and medium size loops connecting regular secondary structure",46.0,True,1996\46_main_body.txt
47,https://psb.stanford.edu/psb-online/proceedings/psb96/swanson.pdf,E. Swanson and T. P. Lybrand,Computational Biology Instruction at the University of Washington Center for Bioengineering,47.0,True,1996\47_main_body.txt
48,https://psb.stanford.edu/psb-online/proceedings/psb96/tateishi.pdf,Erika Tateishi and Satoru Miyano,A Greedy Strategy for Finding Motifs from Yes-No Examples,48.0,True,1996\48_main_body.txt
49,https://psb.stanford.edu/psb-online/proceedings/psb96/tropsha.pdf,"A. Tropsha, R. K. Singh, I. I. Vaisman and W. Zheng,",Statistical Geometry Analysis of Proteins: Implications for inverted structure prediction,49.0,True,1996\49_main_body.txt
50,https://psb.stanford.edu/psb-online/proceedings/psb96/vanderspoel.pdf,David Van Der Spoel and Herman J.C. Berendsen,"Determination of Proton Transfer Rate Constants Using Ab Initio, Molecular Dynamics and Density Matrix Evolution Calculations",50.0,True,1996\50_main_body.txt
51,https://psb.stanford.edu/psb-online/proceedings/psb96/verkhivker.pdf,Gennady Verkhivker,Empirical Free Energy Calculations of Human Immunodeficiency Virus Type 1 Protease Crystallographic Complexes. II. Knowledge-Based Ligand-Protein Interaction Potentials Applied to the Thermodynamic Analysis of Hydrophobic Mutations,51.0,True,1996\51_main_body.txt
52,https://psb.stanford.edu/psb-online/proceedings/psb96/vieth.pdf,"Michal Vieth, Andrzej Kolinski, Charles L. Brooks, III, and Jeffrey Skolnick,",Prediction of the quaternary structure of coiled coils: GCN4 leucine zipper and its mutants,52.0,True,1996\52_main_body.txt
53,https://psb.stanford.edu/psb-online/proceedings/psb96/vollhardt.pdf,H. Vollhardt and J. Brickmann,3D Molecular Graphics on the World Wide Web,53.0,True,1996\53_main_body.txt
54,https://psb.stanford.edu/psb-online/proceedings/psb96/wu.pdf,"Cathy H. Wu, Hsi-Lien Chen, Chin-Ju Lo and Jerry W. McLarty",Motif Identification Neural Design for Rapid and Sensitive Protein Family Search,54.0,True,1996\54_main_body.txt
55,https://psb.stanford.edu/psb-online/proceedings/psb96/yada.pdf,"Tetsushi Yada, Masato Ishikawa, Hidetoshi Tanaka and Kiyoshi Asai",Extraction of Hidden Markov Model Representations of Signal Patterns in DNA Sequences,55.0,True,1996\55_main_body.txt
56,https://psb.stanford.edu/psb-online/proceedings/psb96/akutsu.pdf,Tatsuya Akutsu,A Simple Alignment Algorithm for Three-dimensional Protein Structures.,56.0,True,1996\56_main_body.txt
57,https://psb.stanford.edu/psb-online/proceedings/psb96/alt-bagley.pdf,Russ B. Altman and Steven C. Bagley,Conserved biochemical features among four protease molecules with not structural or sequential homology.,57.0,False,1996\57_main_body.txt
58,https://psb.stanford.edu/psb-online/proceedings/psb96/altman-gersch.pdf,"Russ B. Altman, Robert Schmidt and Mark Gerstein",A library of low-variance cores for protein families.,58.0,False,1996\58_main_body.txt
59,https://psb.stanford.edu/psb-online/proceedings/psb96/biegansk2.pdf,"Paul Bieganski, John Riedl, John Carlis and Ernest F. Retzel,",Motif Explorer: A tool for interaction exploration of Amino Acid Sequence Motifs.,59.0,False,1996\59_main_body.txt
60,https://psb.stanford.edu/psb-online/proceedings/psb96/callan.pdf,"Ondine Harris Callan, On-Yee So and David C. Swinney", A New Mathematical Model of Slow-Binding Enzyme Inhibition,60.0,False,1996\60_main_body.txt
61,https://psb.stanford.edu/psb-online/proceedings/psb96/casari.pdf,"Georg Casari, Christos Ouzounis, Alfonso Valencia and Chris Sand",GeneQuiz II: Automatic Function Asignment for Genome Sequence Analysis.,61.0,False,1996\61_main_body.txt
62,https://psb.stanford.edu/psb-online/proceedings/psb96/delavega2.pdf,"Fancisco M. De La Vega, Carlos Cerpa, Gabriel Guarneros and Robert M. Farber",A Mutal Information Analysis of tRNA seqeuence and modification patterns distinctive of species and phylogentic domain.,62.0,False,1996\62_main_body.txt
63,https://psb.stanford.edu/psb-online/proceedings/psb96/de-rijk.pdf,"P. De Rijk and R. De Wachter,","tkDCSE, The dedicated comparitive sequence editor.",63.0,False,1996\63_main_body.txt
64,https://psb.stanford.edu/psb-online/proceedings/psb96/dubay2.pdf,Christopher Dubay and William Hersh Creating a curriculum for a Masters of Science program in Medical Informatics that develops biomedical computing skil,Creating a curriculum for a Masters of Science program in Medical Informatics that develops biomedical computing skills. ,64.0,False,1996\64_main_body.txt
65,https://psb.stanford.edu/psb-online/proceedings/psb96/dubay1.pdf,"Christopher J. Dubay, David Zimmerman and Bradley Popovich  Protocol Modeling in a Laboratory Information Management Sys", Protocol Modeling in a Laboratory Information Management System ,65.0,False,1996\65_main_body.txt
66,https://psb.stanford.edu/psb-online/proceedings/psb96/fujiwara.pdf,"Yukiko Fujiwara, Minoru Asogawa and Akihiko Konagaya",Motif extraction using an improved iterative duplication method for HMM topology learning.,66.0,False,1996\66_main_body.txt
67,https://psb.stanford.edu/psb-online/proceedings/psb96/grigoriev.pdf,"Andrei Grigoriev, Richard Mott and Hans Lehrach",Handling experimental noise and integrating different types of data in genomic mapping.,67.0,False,1996\67_main_body.txt
68,https://psb.stanford.edu/psb-online/proceedings/psb96/guan.pdf,X. Guan and E. Uberbacher,A fast lookup algorithm for detecting repetitive DNA sequences.,68.0,False,1996\68_main_body.txt
69,https://psb.stanford.edu/psb-online/proceedings/psb96/henn.pdf,"Chris Henn and Michael Teschner,",Molecular Inventor: Discovering novel compounds in a collaborative environment.,69.0,False,1996\69_main_body.txt
70,https://psb.stanford.edu/psb-online/proceedings/psb96/hodge.pdf,"C. N. Hodge, Z.W. Wasserman, P.F.W. Stouten, B.A. Luty and C. Liang",Fitting Flexible ligands into flexible active sites.,70.0,False,1996\70_main_body.txt
71,https://psb.stanford.edu/psb-online/proceedings/psb96/huang.pdf,"Conrad C. Huang, Gregory S. Couch, Eric F. Pettersen and Thomas E. Ferrin", Chimera: An extensible molecular modelling application constructed using standard components.,71.0,False,1996\71_main_body.txt
72,https://psb.stanford.edu/psb-online/proceedings/psb96/karp.pdf,Peter D. Karp and Suzanne M. Paley,Retrofitting existing applications and authoring new applications for the World Wide Web.,72.0,True,1996\72_main_body.txt
73,https://psb.stanford.edu/psb-online/proceedings/psb96/lebon.pdf,F. Lebon,Strategy for de novo computational drug design of HIV-1 PR inhibitors.,73.0,False,1996\73_main_body.txt
74,https://psb.stanford.edu/psb-online/proceedings/psb96/marstaller.pdf,J.E. Marstaller and M. D. Zorn,An electronic laboratory notebook based on the World Wide Web.,74.0,False,1996\74_main_body.txt
75,https://psb.stanford.edu/psb-online/proceedings/psb96/merz.pdf,Kenneth M. Merz Jr.Development and Application of Quantum Mechanical/Molecular Mechanical Coupled Potenti,Development and Application of Quantum Mechanical/Molecular Mechanical Coupled Potentials ,75.0,False,1996\75_main_body.txt
76,https://psb.stanford.edu/psb-online/proceedings/psb96/michelson.pdf,Seth Michelson,Biological control in tumor growth.,76.0,False,1996\76_main_body.txt
77,https://psb.stanford.edu/psb-online/proceedings/psb96/nishibata.pdf,"Yoshihiko Nishibata, Chiaki Fukushima, Momi Murase and Toshikazu Miyagishi", A New Approach to Peptide Ligand Design Based on Atom-by-atom de novo Design,77.0,False,1996\77_main_body.txt
78,https://psb.stanford.edu/psb-online/proceedings/psb96/olson.pdf,Arthur J. Olson and Bruce S. Duncan,Protein-protein docking using parametric surface representations.,78.0,False,1996\78_main_body.txt
79,https://psb.stanford.edu/psb-online/proceedings/psb96/rarey.pdf,"Matthias Rarey, Bernd Kramer, Christoph Bernd, and Thomas Lengau", Time-Efficient Docking of Similar Flexible Ligands,79.0,False,1996\79_main_body.txt
80,https://psb.stanford.edu/psb-online/proceedings/psb96/reese.pdf,"Martin G. Reese, Nomi L. Harris and Frank H. Eeckman",Large scale sequencing specific neural networks for promotor and splice site recognition.,80.0,False,1996\80_main_body.txt
81,https://psb.stanford.edu/psb-online/proceedings/psb96/reva.pdf,"B. A. Reva, A. V. Finkelstein, D. S. Rykunov and A. J. Olson",Building of self-avoidingt lattice models of proteins using a SCF-optimization,81.0,False,1996\81_main_body.txt
82,https://psb.stanford.edu/psb-online/proceedings/psb96/sanner.pdf,"Michel F. Sanner, Boris A. Reva, Alexei V. Finkelstein and Arthur J. Olson",Increasing accuracy of energy calculations of lattice models by adjusting the potentials.,82.0,False,1996\82_main_body.txt
83,https://psb.stanford.edu/psb-online/proceedings/psb96/tao.pdf,"Holly Tao, Zhen Tao Chu and Arieh Warshel",Quantitative studies of ligand-receptor interactions: A rapid evaluation of binding free energies of endothiapepsin to its inhibitors.,83.0,False,1996\83_main_body.txt
84,https://psb.stanford.edu/psb-online/proceedings/psb96/thompson.pdf,"Mark A. Thompson and Gregory K, Schenter, Excited states of the chromophores of the photosynthetic reaction center from Rhodopseudomonas viridis: A QM/MM study that includes MM polarizati",Excited states of the chromophores of the photosynthetic reaction center from Rhodopseudomonas viridis: A QM/MM study that includes MM polarization. ,84.0,False,1996\84_main_body.txt
85,https://psb.stanford.edu/psb-online/proceedings/psb96/vavilin.pdf,"V.A. Vavilin, S.V. Rytov and L.Ya. LokshinaSimulation Model and User-friendly Computer Program METHANE as a Tool for Effective Biogas Production During Anaerobic Conversion of Complex Organic Mat",Simulation Model and User-friendly Computer Program METHANE as a Tool for Effective Biogas Production During Anaerobic Conversion of Complex Organic Matter ,85.0,False,1996\85_main_body.txt
0,https://psb.stanford.edu/psb-online/proceedings/psb24/lozano.pdf,"Alejandro Lozano, Scott L Fleming, Chia-Chun Chiang, Nigam Shah",Clinfo.ai: An Open-Source Retrieval-Augmented Large Language Model System for Answering Medical Questions Using Scientific Literature,0.0,True,2024\0_main_body.txt
1,https://psb.stanford.edu/psb-online/proceedings/psb24/pakhomov.pdf,"Serguei Pakhomov, Jacob Solinsky, Martin Michalowski, Veronika Bachanova",A Conversational Agent for Early Detection of Neurotoxic Effects of Medications through Automated Intensive Observation,1.0,True,2024\1_main_body.txt
2,https://psb.stanford.edu/psb-online/proceedings/psb24/duffy.pdf,"Grant Duffy, Kai Christensen, David Ouyang",Leveraging 3D Echocardiograms to Evaluate AI Model Performance in Predicting Cardiac Function on Out-of-Distribution Data,2.0,True,2024\2_main_body.txt
3,https://psb.stanford.edu/psb-online/proceedings/psb24/li.pdf,"Alexis Li, Yi Yang, Hejie Cui, Carl Yang",BrainSTEAM: A Practical Pipeline for Connectome-based fMRI Analysis towards Subject Classification,3.0,True,2024\3_main_body.txt
4,https://psb.stanford.edu/psb-online/proceedings/psb24/prantzalos.pdf,"Katrina Prantzalos, Dipak Upadhyaya, Nassim Shafiabadi, Guadalupe Fernandez-BacaVaca, Nick Gurski, Kenneth Yoshimoto, Subhashini Sivagnanam, Amitava Majumdar, Satya S. Sahoo",MaTiLDA: An Integrated Machine Learning and Topological Data Analysis Platform for Brain Network Dynamics,4.0,True,2024\4_main_body.txt
5,https://psb.stanford.edu/psb-online/proceedings/psb24/sadaei.pdf,"< Hossein Javedani Sadaei, Salvatore Loguercio, Mahdi Shafiei Neyestanak, Ali Torkamani/i>; Pacific Symposium on Biocomputing 29:81-95(2024)",Zoish: A Novel Feature Selection Approach Leveraging Shapley Additive Values for Machine Learning Applications in Healthcare,5.0,True,2024\5_main_body.txt
6,https://psb.stanford.edu/psb-online/proceedings/psb24/moore.pdf,"Jason H. Moore, Xi Li, Jui-Hsuan Chang, Nicholas P. Tatonetti, Dan Theodorescu, Yong Chen, Folkert W. Asselbergs, Mythreye Venkatesan, Zhiping Paul Wang",SynTwin: A Graph-Based Approach for Predicting Clinical Outcomes Using Digital Twins Derived from Synthetic Patients,6.0,True,2024\6_main_body.txt
7,https://psb.stanford.edu/psb-online/proceedings/psb24/patel.pdf,"Charmi Patel, Yiyang Wang, Thiruvarangan Ramaraj, Roselyne Tchoua, Jacob Furst, Daniela Raicu",Optimizing Computer-Aided Diagnosis with Cost-Aware Deep Learning Models,7.0,True,2024\7_main_body.txt
8,https://psb.stanford.edu/psb-online/proceedings/psb24/jiang.pdf,"Yixing Jiang, Jeremy A. Irvin, Andrew Y. Ng, James Zou",VetLLM: Large Language Model for Predicting Diagnosis from Veterinary Notes,8.0,True,2024\8_main_body.txt
9,https://psb.stanford.edu/psb-online/proceedings/psb24/vukadinovic.pdf,"Milos Vukadinovic, Gauri Renjith, Victoria Yuan, Alan Kwan, Susan C. Cheng, Debiao Li, Shoa L. Clarke, David Ouyang",Impact of Measurement Noise on Genetic Association Studies of Cardiac Function,9.0,True,2024\9_main_body.txt
10,https://psb.stanford.edu/psb-online/proceedings/psb24/yang_yisu.pdf,"Yisu Yang, Aditi Sathe, Kurt Schilling, Niranjana Shashikumar, Elizabeth Moore, Logan Dumitrescu, Kimberly Pechman, Bennett Landman, Katherine Gifford, Timothy Hohman, Angela Jefferson, Derek Archer",A Deep Neural Network Estimation of Brain Age Is Sensitive to Cognitive Impairment and Decline,10.0,True,2024\10_main_body.txt
11,https://psb.stanford.edu/psb-online/proceedings/psb24/bramer.pdf,"Lisa M. Bramer, Holly M. Dixon, David J. Degnan, Diana Rohlman, Julie B. Herbstman, Kim A. Anderson, Katrina M. Waters",Expanding the Access of Wearable Silicone Wristbands in Community-Engaged Research Through Best Practices in Data Analysis and Integration,11.0,True,2024\11_main_body.txt
12,https://psb.stanford.edu/psb-online/proceedings/psb24/hoang.pdf,"Bao Hoang, Yijiang Pang, Hiroko Dodge, Jiayu Zhou",Subject Harmonization of Digital Biomarkers: Improved Detection of Mild Cognitive Impairment from Language Markers,12.0,True,2024\12_main_body.txt
13,https://psb.stanford.edu/psb-online/proceedings/psb24/rogovchenko.pdf,"Valeriya Rogovchenko, Austin Sibu, Yang Ni",Scalar-Function Causal Discovery for Generating Causal Hypotheses with Observational Wearable Device Data,13.0,True,2024\13_main_body.txt
14,https://psb.stanford.edu/psb-online/proceedings/psb24/yang_yi.pdf,"Yi Yang, Han Xie, Hejie Cui, Carl Yang",FedBrain: Federated Training of Graph Neural Networks for Connectome-based Brain Imaging Analysis,14.0,True,2024\14_main_body.txt
15,https://psb.stanford.edu/psb-online/proceedings/psb24/georgantas.pdf,"Costa Georgantas, Jaume Banus, Roger Hullin, Jonas Richiardi",Systematic Estimation of Treatment Effect on Hospitalization Risk as a Drug Repurposing Screening Method,15.0,True,2024\15_main_body.txt
16,https://psb.stanford.edu/psb-online/proceedings/psb24/hoffing.pdf,"Rachel A. Hoffing, Aimee M. Deaton, Aaron M. Holleman, Lynne Krohn, Philip J. LoGerfo, Mollie E. Plekan, Sebastian Akle Serrano, Paul Nioi, Lucas D. Ward",Transcript-Aware Analysis of Rare Predicted Loss-of-Function Variants in the UK Biobank Elucidate New Isoform-Trait Associations,16.0,True,2024\16_main_body.txt
17,https://psb.stanford.edu/psb-online/proceedings/psb24/jain.pdf,"Ayush Jain, Marie-Laure Charpignon, Irene Y. Chen, Anthony Philippakis, Ahmed Alaa",Generating new drug repurposing hypotheses using disease-specific hypergraphs,17.0,True,2024\17_main_body.txt
18,https://psb.stanford.edu/psb-online/proceedings/psb24/joisa.pdf,"Chinmaya U. Joisa, Kevin A. Chen, Samantha Beville, Timothy Stuhlmiller, Matthew E. Berginski, Denis Okumu, Brian T. Golitz, Michael P. East, Gary L. Johnson, Shawn M. Gomez",Combined kinome inhibition states are predictive of cancer cell line sensitivity to kinase inhibitor combination therapies,18.0,True,2024\18_main_body.txt
19,https://psb.stanford.edu/psb-online/proceedings/psb24/ovanessians.pdf,"Armand Ovanessians, Carson Snow, Thomas Jennewein, Susanta Sarkar, Gil Speyer, Judith Klein-Seetharaman",Creation of a Curated Database of Experimentally Determined Human Protein Structures for the Identification of Its Targetome,19.0,True,2024\19_main_body.txt
20,https://psb.stanford.edu/psb-online/proceedings/psb24/xiang.pdf,"Shunian Xiang, Patrick J. Lawrence, Bo Peng, ChienWei Chiang, Dokyoon Kim, Li Shen, Xia Ning",Modeling Path Importance for Effective Alzheimer’s Disease Drug Repurposing,20.0,True,2024\20_main_body.txt
21,https://psb.stanford.edu/psb-online/proceedings/psb24/comajoan.pdf,"Marçal Comajoan Cara, Daniel Mas Montserrat, Alexander G. Ioannidis",PopGenAdapt: Semi-Supervised Domain Adaptation for Genotype-to-Phenotype Prediction in Underrepresented Populations,21.0,True,2024\21_main_body.txt
22,https://psb.stanford.edu/psb-online/proceedings/psb24/mishra.pdf,"Mrinal Mishra, Layan Nahlawi, Yizhen Zhong, Tanima De, Guang Yang, Cristina Alarcon, Minoli A Perera",LA-GEM: Imputation of Gene Expression with Incorporation of Local Ancestry,22.0,True,2024\22_main_body.txt
23,https://psb.stanford.edu/psb-online/proceedings/psb24/orlenko.pdf,"Alena Orlenko, Philip J. Freda, Attri Ghosh, Hyunjun Choi, Nicholas Matsumoto, Tiffani J. Bright, Corey T. Walker, Tayo Obafemi-Ajayi, Jason H. Moore",Cluster Analysis Reveals Socioeconomic Disparities Among Elective Spine Surgery Patients,23.0,True,2024\23_main_body.txt
24,https://psb.stanford.edu/psb-online/proceedings/psb24/seagle.pdf,"Hannah M. Seagle, Jacklyn N. Hellwege, Brian S. Mautz, Chun Li, Yaomin Xu, Siwei Zhang, Dan M. Roden, Tracy L. McGregor, Digna R. Velez Edwards, Todd L. Edwards",Evidence of Recent and Ongoing Admixture in the U.S. and Influences on Health and Disparities,24.0,True,2024\24_main_body.txt
