Title,Authors,Year,DOI,PubMed IDs,Full Authors,distr,Cited By Count
DNA computing based on splicing: universality results.,"Erzsebet Csuhaj-Varju, Rudolf Freund, Lila Kari, and Gheorge Paun",1996,,9390231,"{7003395443: 'ErzsÃ©bet Csuhaj-VarjÃº', 7101629410: 'Rudolf Freund', 7006576038: 'Lila Kari', 35584084400: 'Gheorgjie PÃ¡un'}","[6.4876083e-05 8.5052550e-02 4.1462305e-01 3.3086804e-03 6.4876083e-05
 6.4876083e-05 3.9574411e-03 6.4876083e-05 2.0896588e-01 1.3040094e-02
 6.4876083e-05 6.4876083e-05 7.2012460e-03 2.6346180e-01]",24
Parallel discrete event simulation of Lyme disease.,"Ewa Deelman, Thomas Caraco, and Boleslaw K. Szymanski",1996,,9390232,"{26643042200: 'Ewa Deelman', 57203631993: 'Thomas Caraco', 7006034400: 'Boleslaw Karol Szymanski'}",,5
Distance education through the Internet: the GNA-VSNS biocomputing course.,"Francisco M. De La Vega, Robert Giegerich and Georg Fuellen",1996,,9390233,"{6701667422: 'Francisco M. de la Vega', 7004592888: 'Robert Giegerich', 6603052627: 'Georg F. Fuellen'}","[2.3422432e-03 6.9348770e-03 5.7182878e-01 4.5926336e-05 9.2817128e-02
 4.5926336e-05 4.5926336e-05 6.0163504e-03 1.5986958e-01 7.6742910e-02
 6.0163504e-03 8.3126668e-03 2.5764674e-02 4.3216683e-02]",6
"Multifractals, encoded walks and the ergodicity of protein sequences.",T. Gregory Dewey and Bonnie J. Strait,1996,,9390234,"{8097985900: 'Thomas Gregory Dewey', 6603317277: 'Bonnie J. Strait'}","[2.0879471e-01 1.1015655e-01 5.5428278e-02 6.3637519e-05 6.3637519e-05
 3.6534297e-01 8.9728907e-03 1.3427516e-02 8.0883287e-02 1.5973018e-02
 6.3637519e-05 6.3637519e-05 5.6701031e-02 8.4065169e-02]",7
List update processing (LUP)--solving the sequence database update problem.,Reinhard Doelz and Florian Eggenberger,1996,,9390235,"{6602653733: 'Reinhard Doelz', 6602408778: 'F. Eggenberger'}","[1.5298065e-03 4.4956572e-02 4.6738055e-01 4.9348600e-05 1.3373470e-02
 7.0617847e-02 8.4386105e-03 7.4516386e-03 7.5552709e-02 2.7294707e-01
 4.9348600e-05 9.9190688e-03 1.5298065e-03 2.6204105e-02]",0
Circular clustering of protein dihedral angles by Minimum Message Length.,"David L. Dowe, Lloyd Allison, Trevor Dix, Lawrence Hunter, Chris S. Wallace and Timothy Edgoose",1996,,9390236,"{6701848629: 'David L. Dowe', 7006031094: 'Lloyd Allison', 7004680964: 'Trevor I. Dix', 58437448300: 'L. Hunter', 7402176519: 'Christopher S. Wallace', 6602635094: 'Timothy Edgoose'}","[1.7716803e-01 4.1666668e-02 6.4895473e-02 5.3232681e-04 4.8393344e-05
 3.9832559e-01 4.8393344e-05 2.1341464e-02 2.4395084e-01 4.8393344e-05
 2.2793263e-02 4.8393344e-05 1.7469997e-02 1.1662796e-02]",17
An object-oriented data-driven migration model.,Keith Downing,1996,,9390237,{57525016400: 'K. Downing'},"[9.0868279e-02 9.1904402e-02 2.5699386e-01 3.4537545e-05 8.5687645e-02
 7.1872629e-02 9.7050499e-03 1.0050425e-02 7.8434765e-02 5.5605448e-03
 3.4537545e-05 2.8289700e-01 1.7614147e-03 1.4194930e-02]",0
On the definition and the construction of pockets in macromolecules.,"Herbert Edelsbrunner, Michael Facello and Jie Liang",1996,,9390238,"{7005273880: 'Herbert Edelsbrunner', 6507598581: 'Michael A. Facello', 35215765500: 'Jie Liang'}","[1.18553124e-01 4.52053733e-02 2.48262823e-01 3.86040774e-05
 3.86040774e-05 3.86040774e-05 3.86040774e-05 9.30358283e-03
 2.99220204e-01 3.51683162e-02 4.24644881e-04 2.74088955e-03
 2.37839714e-01 3.12693045e-03]",24
DNA splicing systems and post systems.,C. Ferretti and S. Kobayashi ,1996,,9390239,"{57191135612: 'Claudio Ferretti', 56209234700: 'Satoshi Kobayashi'}","[6.1297047e-05 8.8329047e-02 3.9542723e-01 6.1297047e-05 6.1297047e-05
 6.1297047e-05 6.1297047e-05 8.0299135e-03 1.3797966e-01 5.8293488e-02
 6.1297047e-05 7.4169426e-03 9.2558544e-03 2.9490009e-01]",3
Assessing the performance of fold recognition methods by means of a comprehensive benchmark.,"Daniel Fischer, Arne Elofsson, Danny Rice and David Eisenberg",1996,,9390240,"{55423941800: 'Daniel Fischer', 7003471235: 'Arne Elofsson', 7402055562: 'Danny W. Rice', 19434183500: 'David S. Eisenberg'}","[1.8404962e-01 2.9117169e-05 2.9437456e-02 2.9117169e-05 2.9117169e-05
 3.1915328e-01 2.9117169e-05 2.9117169e-05 3.4157351e-01 7.0172376e-03
 1.3131842e-02 2.9117169e-05 2.4778711e-02 8.0683678e-02]",122
Biocomputing education by the Australian National Genomic Information Service.,"Bruno A. Gaeta, Carolyn A. Bucholtz, Rowena Campbell, Camson Huynh, Stephanie Kim, and Alex H. Reisner",1996,,9390241,"{6602306027: 'Bruno A. GaÃ«ta', 6601997836: 'Carolyn A. Bucholtz', 57198747586: 'R. M.M. Campbell', 7005973075: 'C. Huynh', 7601578652: 'S. H. Kim', 7005040123: 'A. H. Reisner'}",,0
Puzzle pieces defined: locating common packing units in tertiary protein contacts.,"K.M. Gernert, L.D. Bergman, B.D. Thomas, J.C. Plurad, J.S. Richardson, D.C. Richardson and L.D. Bergman",1996,,9390242,"{6603622262: 'Kim M. Gernert', 55417252800: 'B. D. Thomas', 6504369528: 'J. C. Plurad', 35501730000: 'Jane Shelby Richardson', 7403444819: 'David C. Richardson', 58584911600: 'Lawrence D. Bergman'}","[5.0435257e-01 1.8135655e-04 2.2869059e-01 1.9949221e-03 1.8135655e-04
 7.9978228e-02 7.4356180e-03 1.8135655e-04 4.9147625e-02 6.7283273e-02
 7.4356180e-03 1.8135655e-04 4.5520492e-02 7.4356180e-03]",1
Using multiple alignments and phylogenetic trees to detect RNA secondary structure.,Brad Gulko and David Haussler,1996,,9390243,"{57191377970: 'B. Gulko', 7006637893: 'David H. Haussler'}","[4.5432828e-02 6.0125832e-03 9.9944258e-03 2.0307398e-03 3.9818431e-05
 2.1227203e-01 1.3422793e-01 3.9818431e-05 3.7473124e-01 2.8271084e-03
 6.7731149e-02 3.9818431e-05 2.8271084e-03 1.4179343e-01]",20
A branch and bound algorithm for local multiple alignment.,Paul Horton,1996,,9390244,{57203184102: 'Paul B. Horton'},,7
"Beyond the hyperactive molecule: search, salvage and visualization of chemical information from the Internet.",Wolf-Dietrich Ihlenfeldt and Johann Gasteiger,1996,,9390245,"{35613120100: 'Wolf Dietrich Ihlenfeldt', 7005849709: 'Johann Gasteiger'}",,2
"An introductory course in computation molecular biology: rationale, history, observations, and course description.","Susan J. Johns, Steve M. Thompson, and A.Keith Dunker",1996,,9390246,"{57007081800: 'Susan J. Johns', 58359619000: 'S. M. Thompson', 7005069650: 'A. Keith Dunker'}",,0
Visualisation in the SPROUT molecular design program.,A. Peter Johnson and Zsolt Zsoldos,1996,,9390247,"{23070550000: 'Arthur Peter Johnson', 56617558700: 'Zsolt Zsoldos'}","[4.8050189e-01 1.8405177e-02 2.6453614e-01 3.1039610e-03 4.3717762e-05
 4.3717762e-05 4.3717762e-05 9.1807294e-04 2.1775816e-01 4.3717762e-05
 3.9783162e-03 4.3717762e-05 1.0535981e-02 4.3717762e-05]",0
Computational evolution of a model polymer that folds to a specified target conformation.,Richard Judson,1996,,9390248,{35302023300: 'Richard S. Judson'},,1
A protocol for maintaining multidatabase referential integrity.,Peter Karp,1996,,9390249,{7006431499: 'Peter D. Karp'},"[2.6219193e-04 7.1054012e-02 4.4861040e-01 2.6219193e-04 5.5060303e-03
 2.6219193e-04 5.5060303e-03 2.6219193e-04 1.4446776e-01 2.5983220e-01
 2.6219193e-04 8.1279492e-03 3.9590981e-02 1.5993707e-02]",5
An algorithm for prediction of structural elements in small proteins.,"Andrzej Kolinski, Jeffrey Skolnick and Adam Godzik",1996,,9390250,"{7006356760: 'Andrzej KoliÅski', 7103056580: 'Jeffrey Skolnickâ', 7007144993: 'Adam Godzik'}",,3
A high performance system for molecular dynamics simulation of biomolecules using a special-purpose computer.,"Y. Komeiji, H. Yokoyama, M. Uebayasi, M. Taiji, T. Fukushige, D. Sugimoto, R.Takata, A Shimizu and K. Itsukashi",1996,,9390252,"{6701563580: 'Yuto Komeiji', 57203030954: 'H. Yokoyama', 6603883981: 'Masami Uebayasi', 7003890233: 'Makoto Taiji', 7005365711: 'Toshiyuki Fukushige', 7004635444: 'Daiichiro Sugimoto', 7006818555: 'R. Takata', 55704794200: 'A. Shimizu', 6504209140: 'K. Itsukashi'}","[3.5843194e-01 1.7753470e-01 2.4819103e-01 4.2989701e-03 4.2564061e-05
 1.5791265e-02 4.2564061e-05 1.0257939e-02 9.0278372e-02 1.7493829e-02
 1.9196391e-02 4.2564061e-05 5.6652766e-02 1.7451264e-03]",7
Correlating structure-dependent mutation matrices with physical-chemical properties.,"J. M. Koshi and R. A. Goldstein,",1996,,9390253,"{6603321737: 'Jeffrey M. Koshi', 7403005698: 'Richard A. Goldstein'}","[4.4682318e-01 2.7146196e-02 6.4864002e-02 5.3123673e-05 5.3123673e-05
 2.9329577e-01 5.3123673e-05 1.6468337e-03 1.1639397e-01 5.3123673e-05
 5.3123673e-05 9.6153850e-03 3.9895877e-02 5.3123673e-05]",4
A case study where biology inspired a solution to a computer science problem.,John R. Koza and David Andre,1996,,9390254,"{7004495925: 'John R. Koza', 7006780655: 'David Andre'}","[7.0274636e-02 1.4835757e-01 3.6645129e-01 5.6542810e-03 2.6925150e-04
 4.0656976e-02 1.0796984e-01 2.6925150e-04 1.8066774e-01 7.8352183e-02
 2.6925150e-04 2.6925150e-04 2.6925150e-04 2.6925150e-04]",6
Protein phylogenetic inference using maximum likelihood with a genetic algorithm.,H. Matsuda,1996,,9390255,{35381793100: 'Hideo Matsuda'},"[5.9969705e-02 5.4461580e-02 1.5216194e-02 1.4458826e-03 5.5769761e-03
 1.3364087e-01 1.5904710e-02 7.5736712e-04 5.1576698e-01 5.5769761e-03
 7.5736712e-04 6.8851557e-05 1.7281741e-02 1.7357478e-01]",44
Ab initio calculations of free energy barriers for chemical reactions in solution: proton transfer in [FHF]-.,Richard P. Muller and Arieh Warshel,1996,,9390256,"{57214662788: 'Richard P. Muller', 7006840601: 'Arieh W. Warshel'}","[5.0114292e-01 2.5090230e-01 1.1435275e-01 6.0153994e-05 6.0153994e-05
 1.0292348e-01 1.2632338e-03 6.0153994e-05 6.6169392e-04 4.2709336e-03
 1.5700193e-02 6.0153994e-05 8.4817130e-03 6.0153994e-05]",1
Mixed quantum mechanical/molecular mechanical simulations of chemical reactions in solution and in enzymes by the classical trajectory mapping approach.,"Jiann-Jong Pan and Jenn-Kang Hwang,",1996,,9390257,"{7404099063: 'Jiannjong Pan', 7403896779: 'Joonsung Khing Hwang'}","[6.0127944e-01 2.0433174e-01 8.7945119e-02 7.7077231e-05 2.3893940e-03
 3.7844919e-02 7.7077231e-05 7.7077231e-05 3.3991057e-02 7.7077231e-05
 7.7077231e-05 7.7077231e-05 3.1678740e-02 7.7077231e-05]",0
Molecular modeling of protocellular functions.,"Andrew Pohorille, Christophe Chipot, Michael H. New, and Michael A. Wilson",1996,,9390258,"{7006044651: 'Andrew Pohorille', 7003715790: 'Christophe J. Chipot', 35952179500: 'Michael H. New', 57203348993: 'Michael A. Wilson'}","[3.9873928e-01 1.9006956e-01 1.4473358e-01 4.3783383e-03 8.7256245e-03
 5.9309406e-03 3.1052045e-05 1.9593839e-02 3.0462055e-02 4.0678177e-03
 5.3098998e-03 3.7572975e-03 1.8416966e-01 3.1052045e-05]",14
"Analysis, clustering and prediction of the conformation of short and medium size loops connecting regular secondary structures.","Stephen D. Rufino, Luis E. Donate, Luc Canard, and Tom L. Blundell",1996,,9390259,"{6603424762: 'Stephen D. Rufino', 6603825649: 'Luis Enrique Donate', 16946021100: 'Luc H.J. Canard', 36042209300: 'Tom L. Blundell'}",,7
Computational biology instruction at the University of Washington Center for Bioengineering.,E. Swanson and T. P. Lybrand,1996,,9390260,"{57215510384: 'Eric Swanson', 7004320407: 'Terry P. Lybrand'}","[2.7516251e-02 4.9372338e-02 6.3220125e-01 6.1645370e-04 4.4889037e-02
 5.6041248e-05 5.6041248e-05 5.6041248e-05 1.4632370e-01 5.1053572e-02
 1.9110063e-02 2.8581035e-03 2.3593364e-02 2.2976911e-03]",0
A greedy strategy for finding motifs from yes-no examples.,Erika Tateishi and Satoru Miyano,1996,,9390261,"{6602409191: 'Erika Tateishi', 7102554029: 'Satoru Miyano'}",,3
Statistical geometry analysis of proteins: implications for inverted structure prediction.,"A. Tropsha, R. K. Singh, I. I. Vaisman and W. Zheng",1996,,9390262,"{35459284800: 'Alexander E. Tropsha', 57219456056: 'Rajesh Kumar P. Singh', 7005567042: 'Iosif I. Vaisman', 7403565981: 'Weifan Zheng'}",,25
"Determination of proton transfer rate constants using Ab initio, molecular dynamics and density matrix evolution calculations.",David Van Der Spoel and Herman J.C. Berendsen,1996,,9390263,"{6701493490: 'David van der Spoel', 7102172537: 'Herman J.C. Berendsen'}","[4.7425634e-01 1.7747100e-01 1.3345338e-01 6.6693341e-05 6.6693341e-05
 6.6693341e-05 6.6693341e-05 6.6693341e-05 1.4679205e-01 6.6693341e-05
 6.6693341e-05 6.6693341e-05 6.7426972e-02 6.6693341e-05]",0
Empirical free energy calculations of human immunodeficiency virus type 1 protease crystallographic complexes. II. Knowledge-based ligand-protein interaction potentials applied to thermodynamic analysis of hydrophobic mutations.,Gennady Verkhivker,1996,,9390264,{7003472684: 'Gennady M. Verkhivker'},,5
Prediction of the quaternary structure of coiled coils: GCN4 leucine zipper and its mutants.,"Michal Vieth, Andrzej Kolinski, Charles L. Brooks, III, and Jeffrey Skolnick",1996,,9390265,"{56265781700: 'Michal Vieth', 7006356760: 'Andrzej KoliÅski', 36861599500: 'Charles Lee Brooks', 7103056580: 'Jeffrey Skolnickâ'}",,1
3D molecular graphics on the World Wide Web.,H. Vollhardt and J. Brickmann,1996,,9390266,"{24300034400: 'Horst Vollhardt', 7005379681: 'JÃ¼rgen A.W. Brickmann'}","[1.19709887e-01 2.47495119e-02 5.75818717e-01 3.97039019e-02
 2.31793011e-03 9.04740579e-03 1.57021079e-03 7.47719459e-05
 7.55944327e-02 1.14475854e-01 3.37221473e-02 1.57021079e-03
 7.47719459e-05 1.57021079e-03]",6
Motif identification neural design for rapid and sensitive protein family search.,"Cathy H. Wu, Hsi-Lien Chen, Chin-Ju Lo and Jerry W. McLarty",1996,,9390267,"{58071565800: 'Cathy H. Wu', 7501609802: 'Hsi Lien Chen', 7401771498: 'Chinju Lo', 7004223524: 'Jerry W. McLarty'}","[2.1696763e-01 6.6615283e-03 7.4928433e-02 5.5053952e-05 5.5053952e-05
 1.4759965e-01 6.0559349e-04 2.2572121e-03 1.1561329e-03 1.4044264e-01
 1.4099318e-01 5.5053952e-05 3.6941200e-02 2.3128165e-01]",1
Extraction of hidden Markov model representations of signal patterns in DNA sequences.,"Tetsushi Yada, Masato Ishikawa, Hidetoshi Tanaka and Kiyoshi Asai",1996,,9390268,"{35350789500: 'Tetsushi Yada', 56309690700: 'Masato Ishikawa', 15075477700: 'Hirokazu Tanaka', 7202856244: 'Kiyoshi Asai'}",,9
Computer simulations of prebiotic evolution.,"V.I. Abkevich, A.M. Gutin and E.I. Shakhnovich",1997,,9390277,"{16737785100: 'Victor I. Abkevich', 35429958300: 'Alexander M. Gutin', 35600851100: 'Eugene I. Shakhnovich'}",,13
Ubiquitous distributed objects with CORBA.,F. Achard and E. Barillot,1997,,9390278,"{7004609955: 'FrÃ©dÃ©ric Achard', 56273574000: 'Emmanuel Barillot'}","[1.4167243e-02 7.9820320e-02 5.3248101e-01 3.4554250e-04 3.4554250e-04
 2.1078093e-02 3.8009677e-03 3.4554250e-04 9.3642019e-02 2.4913615e-01
 3.4554250e-04 3.8009677e-03 3.4554250e-04 3.4554250e-04]",16
Towards a density functional treatment of chemical reactions in complex media.,"D.R. Berard, D. Wei and D.R. Salahub",1997,,9390279,"{57225335311: 'D. R. Berard', 7202909038: 'Dongqing Wei', 7005147098: 'Dennis Russell Salahub'}","[4.5421433e-01 1.3163371e-01 1.6731083e-01 7.4327334e-05 1.5608739e-03
 7.4327334e-05 2.3041475e-03 6.0205143e-03 1.5318865e-01 7.4327334e-05
 1.5608739e-03 7.4327334e-05 8.1834398e-02 7.4327334e-05]",0
Combinatorial tools for the analysis of transcriptional regulation.,"A. Bergeron, E. Gaul and D. Bergeron",1997,,9390280,"{56376058200: 'Anne Bergeron', 6602740559: 'E. Gaul', 57197583904: 'D. Bergeron'}","[1.3129959e-01 1.3129959e-01 1.0096827e-01 1.7557163e-02 5.8329446e-05
 5.8329446e-05 5.8329446e-05 9.3385443e-02 1.9429538e-01 4.1413903e-03
 5.8329446e-05 4.7246851e-03 3.1562060e-01 6.4745685e-03]",0
The generalization method of relationships among nucleotide sequences reveals an order in assimilation of amino acid codons during the isoacceptor tRNAs evolution.,M.B. Chaley and E.V. Korotkov,1997,,9390281,"{6602769752: 'Maria B. Chaley', 7004275162: 'Eugene V. Korotkov'}",,0
Using Tcl for molecular visualization and analysis.,A. Dalke and K Schulten,1997,,9390282,"{6507681885: 'Andrew Dalke', 7102415947: 'Klaus Schulten'}","[1.3331981e-01 1.8330628e-02 5.5336851e-01 6.7640693e-05 2.7732684e-03
 2.9153137e-02 6.7640693e-05 6.7640693e-05 1.2114448e-01 1.2520292e-01
 8.1845243e-03 1.4204545e-03 6.8317102e-03 6.7640693e-05]",12
On some operations suggested by genome evolution.,J. Dassow and V. Mitrana,1997,,9390283,"{55756757900: 'JÃ¼rgen Dassow', 7003479109: 'Victor Mitrana'}","[0.00097656 0.00097656 0.36230466 0.06933594 0.03027344 0.00097656
 0.00097656 0.04980469 0.21582031 0.02050781 0.00097656 0.00097656
 0.01074219 0.23535156]",13
The inverse protein folding problem: self consistent mean field optimisation of a structure specific mutation matrix.,M. Delarue and P. Koehl,1997,,9390284,"{57206138878: 'Marc Delarue', 7003327102: 'Patrice Koehl'}",,7
Theoretical and algorithmical optimization of the dead-end elimination theorem.,"J. Desmet, M. De Maeyer and I. Lasters",1997,,9390285,"{7004429749: 'Johan Desmet', 57223054727: 'Marc C.H. de Maeyer', 7003749975: 'Ignace Lasters'}",,18
Using views for retrieving data from extremely heterogeneous databanks.,T. Etzold and G. Verde,1997,,9390286,"{6602606213: 'Thure Etzold', 19436904000: 'G. Verde'}",,7
Length scales of lipid dynamics and molecular dynamics.,S.E. Feller and R.W. Pastor,1997,,9390287,"{57208461863: 'Scott E. Feller', 7005761292: 'Richard W. Pastor'}",,23
Specific modelling of regulatory units in DNA sequences.,K. Frech and T. Werner,1997,,9390288,"{6701598763: 'Kornelie Frech', 7103151350: 'Thomas Werner'}",,14
Test tube systems with cutting/recombination operations.,"R. Freund, E. Csuhaj-VarjÃº and F. Wachtler",1997,,9390289,"{7101629410: 'Rudolf Freund', 7003395443: 'ErzsÃ©bet Csuhaj-VarjÃº', 7005551634: 'Franz J. Wachtler'}","[7.1053008e-05 5.7552936e-03 4.0294158e-01 7.1053008e-05 7.1053008e-05
 1.7123774e-02 3.9150205e-02 7.1053008e-05 2.2957227e-01 1.9965895e-02
 7.1053008e-05 7.1053008e-05 1.9965895e-02 2.6509875e-01]",11
Organizing and computing metabolic pathway data in terms of binary relations.,"S. Goto, H. Bono, H. Ogata, W. Fujibuchi, T. Nishioka, K. Sato and M. Kanehisa",1997,,9390290,"{36813899000: 'Susumu Goto', 7004455274: 'Hidemasa U. Bono', 7202919260: 'Hiroyuki Ogata', 6602654501: 'Wataru Fujibuchi', 7201616718: 'Takaaki Nishioka', 55495608200: 'Kazushige Sato', 35397669200: 'Minoru I. Kanehisa'}","[8.3093449e-02 1.8661426e-01 1.8439992e-01 9.1397256e-02 5.5358723e-05
 5.5358723e-05 5.5358723e-05 5.5358723e-05 1.2239814e-01 2.1152569e-01
 5.5358723e-05 7.8055803e-03 7.5896814e-02 3.6592115e-02]",120
Development of a cell signaling networks database.,T. Igarashi and T. Kaminuma,1997,,9390291,"{57205986744: 'T. Igarashi', 57197618943: 'Tsuguchika Kaminuma'}",,14
"The native sequence determines sidechain packing in a protein, but does optimal sidechain packing determine the native sequence?",P. Koehl and M. Delarue,1997,,9390292,"{7003327102: 'Patrice Koehl', 57206138878: 'Marc Delarue'}",,4
Design of hydrophobic core of E. coli malate dehydrogenase based on the side-chain packing.,"H. Kono, M. Nishiyama, M. Tanokura and J. Doi",1997,,9390293,"{7102807611: 'Hidetoshi Kono', 7201889644: 'Makoto Nishiyama', 7006624010: 'Masaru Tanokura', 59091738700: 'J. Doi'}","[4.5254043e-01 1.8585692e-01 4.5563698e-02 6.3195148e-05 3.3556622e-02
 9.5424671e-03 1.8389788e-02 6.9514662e-04 1.5109959e-01 6.3195148e-05
 6.3195148e-05 6.3195148e-05 8.1584938e-02 2.0917593e-02]",7
Latent periodicity of DNA sequences of many genes.,E.V. Korotkov and D.A. Phoenix,1997,,9390294,"{7004275162: 'Eugene V. Korotkov', 7004764407: 'David Andrew Phoenix'}",,9
Integrating database homology in a probabilistic gene structure model.,"D. Kulp, D. Haussler, M.G. Reese and F.H. Eeckman",1997,,9390295,"{6701649429: 'David C. Kulp', 7006637893: 'David H. Haussler', 7004951924: 'Martin G. Reese', 6602200002: 'Frank H.Ph D. Eeckman'}",,31
Packing as a structural basis of protein stability: understanding mutant properties from wildtype structure.,C. Lee and M. Levitt,1997,,9390296,"{57196253579: 'Christopher S.Y. Lee', 35599897600: 'Michael D. Levitt'}",,10
Facilities for exploring molecular biology databases on the Web: a comparative study.,"V.M. Markowitz, I-M.A. Chen, A.S. Kosky and E. Szeto",1997,,9390297,"{35320176400: 'Victor M. Markowitz', 7402043424: 'I. Min Amy Chen', 6603118525: 'Anthony S. Kosky', 6603826282: 'Ernest Szeto'}","[3.13087046e-04 6.57482771e-03 3.88541013e-01 3.13087046e-04
 1.59674399e-02 3.44395754e-03 3.13087046e-04 3.13087046e-04
 1.06762677e-01 3.41577947e-01 3.13087046e-04 3.13087046e-04
 1.09893546e-01 2.53600515e-02]",8
Towards a bacteriorhodopsin-silicon neuromorphic photosensor.,"C.H. Martin, Z.P. Chen and R.R. Birge",1997,,9390298,"{7405842800: 'Charles H. Martin', 7409482950: 'Zhongping Chen', 7006304073: 'Robert R. Birge'}","[1.0589449e-01 3.1051886e-01 1.9870821e-01 5.4277029e-05 5.4277029e-05
 1.1398175e-03 5.9704733e-04 6.1387319e-02 1.5582936e-01 5.4277029e-05
 4.9446374e-02 1.4709075e-02 9.6124619e-02 5.4819803e-03]",16
An approach to detection of protein structural motifs using an encoding scheme of backbone conformations.,"H. Matsuda, F. Taniguchi and A. Hashimoto",1997,,9390299,"{35381793100: 'Hideo Matsuda', 7003929124: 'F. Taniguchi', 36889092500: 'Akihiro Hashimoto'}","[3.7286124e-01 1.6922692e-02 4.5023102e-02 6.2445361e-05 8.8047963e-03
 1.1927064e-02 6.2445361e-05 6.8689894e-04 1.9052079e-01 1.8796053e-02
 1.0678156e-02 5.8761083e-02 1.3556887e-01 1.2932435e-01]",7
